Orange,#FF8000
Orange (color wheel),#FF8000
Orange (web color),#FFA500
Dark orange,#FF8C00
Safety Orange,#FF7900
International Orange (Aerospace),#FF4F00
International Orange (Golden Gate Bridge),#F04A00
Orange (Pantone),#FF5800
Orange (Crayola),#FF7538
Papaya Whip,#FFEFD5
Peach,#FFE5B4
Light orange,#FED8B1
Apricot,#FBCEB1
Melon,#FDBCB4
Atomic tangerine,#FF9966
Xanthous,#F1B42F
Carrot orange,#ED9121
Orange peel,#FF9F00
Princeton orange,#E77500
UT orange,#FF8200
Orange (G&amp;S),#E86100
Tangerine,#F28500
Coral,#FF7F50
Pumpkin,#FF7518
Tangelo,#F94D00
Saffron,#F4C430
Goldenrod,#DAA520
Hunyadi yellow,#E8AC41
Giants orange,#FE5A1D
Persimmon,#EC5800
Butterscotch,#E09540
Persian orange,#D99058
Alloy orange,#C46210
Burnt orange,#BF5700
Tiger’s Eye,#B56917
Brown,#964B00
Apricot Peach,#F8C8B0
