Purple,#800080
Tyrian Purple,#66023C
Royal Purple,#7851A9
Red-Violet,#C71585
Electric Purple,#BF00FF
Purple (HTML/CSS color),#800080
Purple (X11 color),#A020F0
Medium Purple,#9370DB
Rebecca purple,#663399
Purple (Munsell),#9F00C5
Pale Purple,#FAE6FA
Mauve (Mallow),#E0B0FF
Thistle,#D8BFD8
Orchid,#DA70D6
Heliotrope,#DF73FF
Phlox,#DF00FF
Purple Pizzazz,#FE4EDA
Liseran Purple,#DE6FA1
Mulberry,#C54B8C
Pearly Purple,#B768A2
Purpureus,#9A4EAE
Northwestern Purple,#4E2A84
KSU Purple,#512888
Pomp and Power,#86608E
Mardi Gras,#880085
Eminence,#6C3082
Byzantium,#702963
Pansy Purple,#78184A
Palatinate,#72246C
Dark Purple,#301934
